XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/23/2021 00:00,1803.61,1810.66,1799.12,1808.38,477,0.26,
12/22/2021 00:00,1790.33,1804.73,1785.5,1803.34,1301,0.72,
12/21/2021 00:00,1791.12,1800.38,1784.5,1790.47,-65,-0.04,
12/20/2021 00:00,1800.22,1804.01,1788.23,1791.11,-911,-0.51,
12/17/2021 00:00,1799.07,1813.91,1795.88,1797.47,-160,-0.09,
12/16/2021 00:00,1779.11,1799.51,1775.48,1798.58,1947,1.08,
12/15/2021 00:00,1772.28,1781.34,1755.94,1779.54,726,0.41,
12/14/2021 00:00,1785.57,1789.51,1765.9,1772.27,-1330,-0.75,
12/13/2021 00:00,1787.03,1791.01,1781.91,1785.66,-137,-0.08,
12/10/2021 00:00,1776.2,1789.02,1769.76,1782.89,669,0.38,
12/09/2021 00:00,1783.14,1787.25,1773.74,1775.99,-715,-0.40,
12/08/2021 00:00,1784.48,1792.93,1779.4,1783.59,-89,-0.05,
12/07/2021 00:00,1780.89,1787.49,1772.26,1784.61,372,0.21,
12/06/2021 00:00,1780.45,1784.63,1775.71,1780.71,26,0.01,
12/03/2021 00:00,1769.06,1786.1,1766.07,1782.38,1332,0.75,
12/02/2021 00:00,1781.21,1781.77,1761.81,1768.86,-1235,-0.70,
12/01/2021 00:00,1773.47,1793.19,1772.64,1781.83,836,0.47,
11/30/2021 00:00,1786.59,1808.64,1769.8,1773.38,-1321,-0.74,
11/29/2021 00:00,1794.7,1799.3,1781.5,1786.63,-807,-0.45,
11/26/2021 00:00,1792.58,1814.95,1781.58,1791.61,-97,-0.05,
11/25/2021 00:00,1789.31,1795.08,1787.5,1791.69,238,0.13,
11/24/2021 00:00,1790.97,1796.22,1778.9,1789.27,-170,-0.10,
11/23/2021 00:00,1808.87,1812.04,1781.96,1790.39,-1848,-1.03,
11/22/2021 00:00,1848.11,1848.65,1801.8,1808.85,-3926,-2.17,
11/19/2021 00:00,1859.62,1864.78,1843.31,1845.54,-1408,-0.76,
11/18/2021 00:00,1866.53,1871.01,1855.32,1859.38,-715,-0.38,
11/17/2021 00:00,1850.32,1867.79,1849.42,1866.43,1611,0.86,
11/16/2021 00:00,1862.08,1877.06,1848.9,1850.09,-1199,-0.65,
11/15/2021 00:00,1865.11,1870.04,1856.14,1862.36,-275,-0.15,
11/12/2021 00:00,1862.03,1868.53,1845.08,1864.14,211,0.11,
11/11/2021 00:00,1848.25,1865.78,1842.72,1862.23,1398,0.75,
11/10/2021 00:00,1829.73,1868.14,1822.0,1848.76,1903,1.03,
11/09/2021 00:00,1824.64,1832.58,1818.7,1829.74,510,0.28,
11/08/2021 00:00,1816.35,1826.24,1812.39,1824.35,800,0.44,
11/05/2021 00:00,1791.4,1818.25,1785.84,1816.92,2552,1.40,
11/04/2021 00:00,1777.34,1798.62,1770.71,1791.16,1382,0.77,
11/03/2021 00:00,1786.96,1787.57,1760.1,1776.94,-1002,-0.56,
11/02/2021 00:00,1792.08,1796.4,1785.8,1786.87,-521,-0.29,
11/01/2021 00:00,1780.44,1795.64,1779.99,1791.89,1145,0.64,
10/29/2021 00:00,1799.28,1799.96,1772.34,1782.77,-1651,-0.93,
10/28/2021 00:00,1796.36,1810.09,1792.5,1799.61,325,0.18,
10/27/2021 00:00,1793.67,1798.95,1783.51,1796.64,297,0.17,
10/26/2021 00:00,1807.93,1808.01,1781.35,1793.4,-1453,-0.81,
10/25/2021 00:00,1794.43,1809.87,1792.23,1807.71,1328,0.73,
10/22/2021 00:00,1784.77,1813.74,1783.46,1791.7,693,0.39,
10/21/2021 00:00,1781.39,1789.2,1776.43,1784.63,324,0.18,
10/20/2021 00:00,1768.68,1788.23,1766.0,1781.5,1282,0.72,
10/19/2021 00:00,1763.78,1784.83,1762.9,1768.56,478,0.27,
10/18/2021 00:00,1770.83,1771.99,1759.91,1763.78,-705,-0.40,
10/15/2021 00:00,1795.18,1796.4,1764.73,1767.28,-2790,-1.58,
10/14/2021 00:00,1791.7,1800.17,1786.5,1794.79,309,0.17,
10/13/2021 00:00,1760.18,1795.64,1758.41,1791.6,3142,1.75,
10/12/2021 00:00,1753.05,1769.01,1750.4,1760.24,719,0.41,
10/11/2021 00:00,1753.2,1760.92,1750.06,1753.12,-8,0.00,
10/08/2021 00:00,1754.69,1781.32,1753.23,1756.87,218,0.12,
10/07/2021 00:00,1763.86,1766.84,1751.95,1754.93,-893,-0.51,
10/06/2021 00:00,1759.22,1765.07,1746.04,1764.01,479,0.27,
10/05/2021 00:00,1767.9,1768.2,1749.06,1759.17,-873,-0.50,
10/04/2021 00:00,1762.95,1770.29,1747.4,1768.06,511,0.29,
10/01/2021 00:00,1753.18,1763.95,1749.68,1760.73,755,0.43,
09/30/2021 00:00,1728.88,1763.69,1722.1,1752.89,2401,1.37,
09/29/2021 00:00,1735.16,1745.53,1721.56,1728.67,-649,-0.38,
09/28/2021 00:00,1750.66,1754.21,1727.7,1735.13,-1553,-0.90,
09/27/2021 00:00,1749.29,1760.67,1744.91,1751.04,175,0.10,
09/24/2021 00:00,1746.27,1757.53,1740.21,1750.45,418,0.24,
09/23/2021 00:00,1767.06,1776.26,1738.55,1745.49,-2157,-1.24,
09/22/2021 00:00,1774.83,1787.03,1765.24,1766.99,-784,-0.44,
09/21/2021 00:00,1764.52,1781.65,1758.02,1774.82,1030,0.58,
09/20/2021 00:00,1754.17,1766.66,1742.51,1764.9,1073,0.61,
09/17/2021 00:00,1753.92,1767.19,1747.44,1754.1,18,0.01,
09/16/2021 00:00,1794.67,1796.13,1745.93,1753.69,-4098,-2.34,
